Category,Name,Other Name(s),Description,Convention,Units,Invalid Channel Criteria
,Spn4RDxb3,,"Blade 3 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 4. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 4 )
,Spn4RDyb3,,"Blade 3 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 4. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 4 )
,Spn4RDzb3,,"Blade 3 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 4. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 4 )
,Spn5RDxb3,,"Blade 3 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 5. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 5 )
,Spn5RDyb3,,"Blade 3 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 5. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 5 )
,Spn5RDzb3,,"Blade 3 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 5. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 5 )
,Spn6RDxb3,,"Blade 3 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 6. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 6 )
,Spn6RDyb3,,"Blade 3 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 6. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 6 )
,Spn6RDzb3,,"Blade 3 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 6. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 6 )
,Spn7RDxb3,,"Blade 3 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 7. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 7 )
,Spn7RDyb3,,"Blade 3 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 7. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 7 )
,Spn7RDzb3,,"Blade 3 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 7. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 7 )
,Spn8RDxb3,,"Blade 3 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 8. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 8 )
,Spn8RDyb3,,"Blade 3 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 8. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 8 )
,Spn8RDzb3,,"Blade 3 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 8. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 8 )
,Spn9RDxb3,,"Blade 3 local roll (angular/rotational)  deflection (relative to the undeflected position) of span station 9. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local xb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 9 )
,Spn9RDyb3,,"Blade 3 local pitch (angular/rotational) deflection (relative to the undeflected position) of span station 9. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the local yb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 9 )
,Spn9RDzb3,,"Blade 3 local torsional (angular/rotational) deflection (relative to the undeflected position) of span station 9. This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the local zb3-axis,(deg),( NumBl < 3 ) .OR. ( NBlGages < 9 )
Blade Pitch Motions,,,,,,
,PtchPMzc1,"PtchPMzb1, BldPitch1, BlPitch1",Blade 1 pitch angle (position),Positive towards feather about the minus zc1- and minus zb1-axes,(deg),
,PtchPMzc2,"PtchPMzb2, BldPitch2, BlPitch2",Blade 2 pitch angle (position),Positive towards feather about the minus zc2- and minus zb2-axes,(deg),
,PtchPMzc3,"PtchPMzb3, BldPitch3, BlPitch3",Blade 3 pitch angle (position),Positive towards feather about the minus zc3- and minus zb3-axes,(deg),NumBl < 3
Teeter Motions,,,,,,
,TeetPya,"RotTeetP, TeetDefl",Rotor teeter angle (position),About the ya-axis,(deg),NumBl > 2
,TeetVya,RotTeetV,Rotor teeter angular velocity,About the ya-axis,(deg/s),NumBl > 2
,TeetAya,RotTeetA,Rotor teeter angular acceleration,About the ya-axis,(deg/s^2),NumBl > 2
Shaft Motions,,,,,,
,LSSTipPxa,"LSSTipPxs, LSSTipP, Azimuth",Rotor azimuth angle (position),About the xa- and xs-axes,(deg),
,LSSTipVxa,"LSSTipVxs, LSSTipV, RotSpeed",Rotor azimuth angular speed,About the xa- and xs-axes,(rpm),
,LSSTipAxa,"LSSTipAxs, LSSTipA, RotAccel",Rotor azimuth angular acceleration,About the xa- and xs-axes,(deg/s^2),
,LSSGagPxa,"LSSGagPxs, LSSGagP",Low-speed shaft strain gage azimuth angle (position) (on the gearbox side of the low-speed shaft),About the xa- and xs-axes,(deg),
,LSSGagVxa,"LSSGagVxs, LSSGagV",Low-speed shaft strain gage angular speed (on the gearbox side of the low-speed shaft),About the xa- and xs-axes,(rpm),
,LSSGagAxa,"LSSGagAxs, LSSGagA",Low-speed shaft strain gage angular acceleration (on the gearbox side of the low-speed shaft),About the xa- and xs-axes,(deg/s^2),
,HSShftV,GenSpeed,Angular speed of the high-speed shaft and generator,Same sign as LSSGagVxa / LSSGagVxs / LSSGagV,(rpm),
,HSShftA,GenAccel,Angular acceleration of the high-speed shaft and generator,Same sign as LSSGagAxa / LSSGagAxs / LSSGagA,(deg/s^2),
,TipSpdRat,TSR,Rotor blade tip speed ratio,N/A,(-),.NOT. CompAero
Nacelle IMU Motions,,,,,,
,NcIMUTVxs,,Nacelle inertial measurement unit translational velocity (absolute),Directed along the xs-axis,(m/s),
,NcIMUTVys,,Nacelle inertial measurement unit translational velocity (absolute),Directed along the ys-axis,(m/s),
,NcIMUTVzs,,Nacelle inertial measurement unit translational velocity (absolute),Directed along the zs-axis,(m/s),
,NcIMUTAxs,,Nacelle inertial measurement unit translational acceleration (absolute),Directed along the xs-axis,(m/s^2),
,NcIMUTAys,,Nacelle inertial measurement unit translational acceleration (absolute),Directed along the ys-axis,(m/s^2),
,NcIMUTAzs,,Nacelle inertial measurement unit translational acceleration (absolute),Directed along the zs-axis,(m/s^2),
,NcIMURVxs,,Nacelle inertial measurement unit angular (rotational) velocity (absolute),About the xs-axis,(deg/s),
,NcIMURVys,,Nacelle inertial measurement unit angular (rotational) velocity (absolute),About the ys-axis,(deg/s),
,NcIMURVzs,,Nacelle inertial measurement unit angular (rotational) velocity (absolute),About the zs-axis,(deg/s),
,NcIMURAxs,,Nacelle inertial measurement unit angular (rotational) acceleration (absolute),About the xs-axis,(deg/s^2),
,NcIMURAys,,Nacelle inertial measurement unit angular (rotational) acceleration (absolute),About the ys-axis,(deg/s^2),
,NcIMURAzs,,Nacelle inertial measurement unit angular (rotational) acceleration (absolute),About the zs-axis,(deg/s^2),
Rotor-Furl Motions,,,,,,
,RotFurlP,RotFurl,Rotor-furl angle (position),About the rotor-furl axis,(deg),
,RotFurlV,,Rotor-furl angular velocity,About the rotor-furl axis,(deg/s),
,RotFurlA,,Rotor-furl angular acceleration,About the rotor-furl axis,(deg/s^2),
Tail-Furl Motions,,,,,,
,TailFurlP,TailFurl,Tail-furl angle (position),About the tail-furl axis,(deg),
,TailFurlV,,Tail-furl angular velocity,About the tail-furl axis,(deg/s),
,TailFurlA,,Tail-furl angular acceleration,About the tail-furl axis,(deg/s^2),
Nacelle Yaw Motions,,,,,,
,YawPzn,"YawPzp, NacYawP, NacYaw, YawPos",Nacelle yaw angle (position),About the zn- and zp-axes,(deg),
,YawVzn,"YawVzp, NacYawV, YawRate",Nacelle yaw angular velocity,About the zn- and zp-axes,(deg/s),
,YawAzn,"YawAzp, NacYawA, YawAccel",Nacelle yaw angular acceleration,About the zn- and zp-axes,(deg/s^2),
,NacYawErr,,"Nacelle yaw error estimate. This is computed as follows: NacYawErr = HorWndDir - YawPzn - YawBrRDzt - PtfmRDzi. This estimate is not accurate instantaneously in the presence of significant tower deflection or platform angular (rotational) displacement since the angles used in the computation are not all defined about the same axis of rotation. However, the estimate should be useful in a yaw controller if averaged over a time scale long enough to diminish the effects of tower and platform motions (i.e., much longer than the period of oscillation).",About the zi-axis,(deg),.NOT. CompAero
Tower-Top / Yaw Bearing Motions,,,,,,
,YawBrTDxp,,Tower-top / yaw bearing fore-aft (translational) deflection (relative to the undeflected position),Directed along the xp-axis,(m),
,YawBrTDyp,,Tower-top / yaw bearing side-to-side (translational) deflection (relative to the undeflected position),Directed along the yp-axis,(m),
,YawBrTDzp,,Tower-top / yaw bearing axial (translational) deflection (relative to the undeflected position),Directed along the zp-axis,(m),
,YawBrTDxt,TTDspFA,Tower-top / yaw bearing fore-aft (translational) deflection (relative to the undeflected position),Directed along the xt-axis,(m),
,YawBrTDyt,TTDspSS,Tower-top / yaw bearing side-to-side (translation) deflection (relative to the undeflected position),Directed along the yt-axis,(m),
,YawBrTDzt,TTDspAx,Tower-top / yaw bearing axial (translational) deflection (relative to the undeflected position),Directed along the zt-axis,(m),
,YawBrTAxp,,Tower-top / yaw bearing fore-aft (translational) acceleration (absolute),Directed along the xp-axis,(m/s^2),
,YawBrTAyp,,Tower-top / yaw bearing side-to-side (translational) acceleration (absolute),Directed along the yp-axis,(m/s^2),
,YawBrTAzp,,Tower-top / yaw bearing axial (translational) acceleration (absolute),Directed along the zp-axis,(m/s^2),
,YawBrRDxt,TTDspRoll,"Tower-top / yaw bearing angular (rotational) roll deflection (relative to the undeflected position). In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the xt-axis,(deg),
,YawBrRDyt,TTDspPtch,"Tower-top / yaw bearing angular (rotational) pitch deflection (relative to the undeflected position). In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the yt-axis,(deg),
,YawBrRDzt,TTDspTwst,"Tower-top / yaw bearing angular (rotational) torsion deflection (relative to the undeflected position). This output will always be zero for FAST simulation results. Use it for examining tower torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.",About the zt-axis,(deg),
,YawBrRVxp,,Tower-top / yaw bearing angular (rotational) roll velocity (absolute),About the xp-axis,(deg/s),
,YawBrRVyp,,Tower-top / yaw bearing angular (rotational) pitch velocity (absolute),About the yp-axis,(deg/s),
,YawBrRVzp,,Tower-top / yaw bearing angular (rotational) torsion velocity. This output will always be very close to zero for FAST simulation results. Use it for examining tower torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. (absolute),About the zp-axis,(deg/s),
,YawBrRAxp,,Tower-top / yaw bearing angular (rotational) roll acceleration (absolute),About the xp-axis,(deg/s^2),
,YawBrRAyp,,Tower-top / yaw bearing angular (rotational) pitch acceleration (absolute),About the yp-axis,(deg/s^2),
,YawBrRAzp,,Tower-top / yaw bearing angular (rotational) torsion acceleration. This output will always be very close to zero for FAST simulation results. Use it for examining tower torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. (absolute),About the zp-axis,(deg/s^2),
Local Tower Motions,,,,,,
,TwHt1ALxt,,Local tower fore-aft (translational) acceleration (absolute) of tower gage 1 ,Directed along the local xt-axis,(m/s^2),NTwGages < 1
,TwHt1ALyt,,Local tower side-to-side (translational) acceleration (absolute) of tower gage 1 ,Directed along the local yt-axis,(m/s^2),NTwGages < 1
,TwHt1ALzt,,Local tower axial (translational) acceleration (absolute) of tower gage 1 ,Directed along the local zt-axis,(m/s^2),NTwGages < 1
,TwHt2ALxt,,Local tower fore-aft (translational) acceleration (absolute) of tower gage 2,Directed along the local xt-axis,(m/s^2),NTwGages < 2
,TwHt2ALyt,,Local tower side-to-side (translational) acceleration (absolute) of tower gage 2,Directed along the local yt-axis,(m/s^2),NTwGages < 2
,TwHt2ALzt,,Local tower axial (translational) acceleration (absolute) of tower gage 2,Directed along the local zt-axis,(m/s^2),NTwGages < 2
,TwHt3ALxt,,Local tower fore-aft (translational) acceleration (absolute) of tower gage 3,Directed along the local xt-axis,(m/s^2),NTwGages < 3
,TwHt3ALyt,,Local tower side-to-side (translational) acceleration (absolute) of tower gage 3,Directed along the local yt-axis,(m/s^2),NTwGages < 3
,TwHt3ALzt,,Local tower axial (translational) acceleration (absolute) of tower gage 3,Directed along the local zt-axis,(m/s^2),NTwGages < 3
,TwHt4ALxt,,Local tower fore-aft (translational) acceleration (absolute) of tower gage 4,Directed along the local xt-axis,(m/s^2),NTwGages < 4
,TwHt4ALyt,,Local tower side-to-side (translational) acceleration (absolute) of tower gage 4,Directed along the local yt-axis,(m/s^2),NTwGages < 4
,TwHt4ALzt,,Local tower axial (translational) acceleration (absolute) of tower gage 4,Directed along the local zt-axis,(m/s^2),NTwGages < 4
,TwHt5ALxt,,Local tower fore-aft (translational) acceleration (absolute) of tower gage 5,Directed along the local xt-axis,(m/s^2),NTwGages < 5
,TwHt5ALyt,,Local tower side-to-side (translational) acceleration (absolute) of tower gage 5,Directed along the local yt-axis,(m/s^2),NTwGages < 5
,TwHt5ALzt,,Local tower axial (translational) acceleration (absolute) of tower gage 5,Directed along the local zt-axis,(m/s^2),NTwGages < 5
,TwHt6ALxt,,Local tower fore-aft (translational) acceleration (absolute) of tower gage 6,Directed along the local xt-axis,(m/s^2),NTwGages < 6
,TwHt6ALyt,,Local tower side-to-side (translational) acceleration (absolute) of tower gage 6,Directed along the local yt-axis,(m/s^2),NTwGages < 6
,TwHt6ALzt,,Local tower axial (translational) acceleration (absolute) of tower gage 6,Directed along the local zt-axis,(m/s^2),NTwGages < 6
,TwHt7ALxt,,Local tower fore-aft (translational) acceleration (absolute) of tower gage 7,Directed along the local xt-axis,(m/s^2),NTwGages < 7
,TwHt7ALyt,,Local tower side-to-side (translational) acceleration (absolute) of tower gage 7,Directed along the local yt-axis,(m/s^2),NTwGages < 7
,TwHt7ALzt,,Local tower axial (translational) acceleration (absolute) of tower gage 7,Directed along the local zt-axis,(m/s^2),NTwGages < 7
,TwHt8ALxt,,Local tower fore-aft (translational) acceleration (absolute) of tower gage 8,Directed along the local xt-axis,(m/s^2),NTwGages < 8
,TwHt8ALyt,,Local tower side-to-side (translational) acceleration (absolute) of tower gage 8,Directed along the local yt-axis,(m/s^2),NTwGages < 8
,TwHt8ALzt,,Local tower axial (translational) acceleration (absolute) of tower gage 8,Directed along the local zt-axis,(m/s^2),NTwGages < 8
,TwHt9ALxt,,Local tower fore-aft (translational) acceleration (absolute) of tower gage 9,Directed along the local xt-axis,(m/s^2),NTwGages < 9
,TwHt9ALyt,,Local tower side-to-side (translational) acceleration (absolute) of tower gage 9,Directed along the local yt-axis,(m/s^2),NTwGages < 9
,TwHt9ALzt,,Local tower axial (translational) acceleration (absolute) of tower gage 9,Directed along the local zt-axis,(m/s^2),NTwGages < 9
,TwHt1TDxt,,Local tower fore-aft (translational) deflection (relative to the undeflected position) of tower gage 1,Directed along the local xt-axis,(m),NTwGages < 1
,TwHt1TDyt,,Local tower side-to-side (translational) deflection (relative to the undeflected position) of tower gage 1,Directed along the local yt-axis,(m),NTwGages < 1
,TwHt1TDzt,,Local tower axial (translational) deflection (relative to the undeflected position) of tower gage 1,Directed along the local zt-axis,(m),NTwGages < 1
,TwHt2TDxt,,Local tower fore-aft (translational) deflection (relative to the undeflected position) of tower gage 2,Directed along the local xt-axis,(m),NTwGages < 2
,TwHt2TDyt,,Local tower side-to-side (translational) deflection (relative to the undeflected position) of tower gage 2,Directed along the local yt-axis,(m),NTwGages < 2
,TwHt2TDzt,,Local tower axial (translational) deflection (relative to the undeflected position) of tower gage 2,Directed along the local zt-axis,(m),NTwGages < 2
,TwHt3TDxt,,Local tower fore-aft (translational) deflection (relative to the undeflected position) of tower gage 3,Directed along the local xt-axis,(m),NTwGages < 3
,TwHt3TDyt,,Local tower side-to-side (translational) deflection (relative to the undeflected position) of tower gage 3,Directed along the local yt-axis,(m),NTwGages < 3
,TwHt3TDzt,,Local tower axial (translational) deflection (relative to the undeflected position) of tower gage 3,Directed along the local zt-axis,(m),NTwGages < 3
,TwHt4TDxt,,Local tower fore-aft (translational) deflection (relative to the undeflected position) of tower gage 4,Directed along the local xt-axis,(m),NTwGages < 4
,TwHt4TDyt,,Local tower side-to-side (translational) deflection (relative to the undeflected position) of tower gage 4,Directed along the local yt-axis,(m),NTwGages < 4
,TwHt4TDzt,,Local tower axial (translational) deflection (relative to the undeflected position) of tower gage 4,Directed along the local zt-axis,(m),NTwGages < 4
,TwHt5TDxt,,Local tower fore-aft (translational) deflection (relative to the undeflected position) of tower gage 5,Directed along the local xt-axis,(m),NTwGages < 5
,TwHt5TDyt,,Local tower side-to-side (translational) deflection (relative to the undeflected position) of tower gage 5,Directed along the local yt-axis,(m),NTwGages < 5
,TwHt5TDzt,,Local tower axial (translational) deflection (relative to the undeflected position) of tower gage 5,Directed along the local zt-axis,(m),NTwGages < 5
,TwHt6TDxt,,Local tower fore-aft (translational) deflection (relative to the undeflected position) of tower gage 6,Directed along the local xt-axis,(m),NTwGages < 6
,TwHt6TDyt,,Local tower side-to-side (translational) deflection (relative to the undeflected position) of tower gage 6,Directed along the local yt-axis,(m),NTwGages < 6
,TwHt6TDzt,,Local tower axial (translational) deflection (relative to the undeflected position) of tower gage 6,Directed along the local zt-axis,(m),NTwGages < 6
,TwHt7TDxt,,Local tower fore-aft (translational) deflection (relative to the undeflected position) of tower gage 7,Directed along the local xt-axis,(m),NTwGages < 7
,TwHt7TDyt,,Local tower side-to-side (translational) deflection (relative to the undeflected position) of tower gage 7,Directed along the local yt-axis,(m),NTwGages < 7
,TwHt7TDzt,,Local tower axial (translational) deflection (relative to the undeflected position) of tower gage 7,Directed along the local zt-axis,(m),NTwGages < 7
,TwHt8TDxt,,Local tower fore-aft (translational) deflection (relative to the undeflected position) of tower gage 8,Directed along the local xt-axis,(m),NTwGages < 8
,TwHt8TDyt,,Local tower side-to-side (translational) deflection (relative to the undeflected position) of tower gage 8,Directed along the local yt-axis,(m),NTwGages < 8
,TwHt8TDzt,,Local tower axial (translational) deflection (relative to the undeflected position) of tower gage 8,Directed along the local zt-axis,(m),NTwGages < 8
,TwHt9TDxt,,Local tower fore-aft (translational) deflection (relative to the undeflected position) of tower gage 9,Directed along the local xt-axis,(m),NTwGages < 9
,TwHt9TDyt,,Local tower side-to-side (translational) deflection (relative to the undeflected position) of tower gage 9,Directed along the local yt-axis,(m),NTwGages < 9
,TwHt9TDzt,,Local tower axial (translational) deflection (relative to the undeflected position) of tower gage 9,Directed along the local zt-axis,(m),NTwGages < 9
,TwHt1RDxt,,"Local tower angular (rotational) roll deflection (relative to the undeflected position) of tower gage 1. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local xt-axis,(deg),NTwGages < 1
,TwHt1RDyt,,"Local tower angular (rotational) pitch deflection (relative to the undeflected position) of tower gage 1. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local yt-axis,(deg),NTwGages < 1
,TwHt1RDzt,,"Local tower angular (rotational) torsion deflection (relative to the undeflected position) of tower gage 1. This output will always be zero for FAST simulation results. Use it for examining tower torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.",About the local zt-axis,(deg),NTwGages < 1
,TwHt2RDxt,,"Local tower angular (rotational) roll deflection (relative to the undeflected position) of tower gage 2. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local xt-axis,(deg),NTwGages < 2
,TwHt2RDyt,,"Local tower angular (rotational) pitch deflection (relative to the undeflected position) of tower gage 2. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local yt-axis,(deg),NTwGages < 2
,TwHt2RDzt,,"Local tower angular (rotational) torsion deflection (relative to the undeflected position) of tower gage 2. This output will always be zero for FAST simulation results. Use it for examining tower torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.",About the local zt-axis,(deg),NTwGages < 2
,TwHt3RDxt,,"Local tower angular (rotational) roll deflection (relative to the undeflected position) of tower gage 3. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local xt-axis,(deg),NTwGages < 3
,TwHt3RDyt,,"Local tower angular (rotational) pitch deflection (relative to the undeflected position) of tower gage 3. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local yt-axis,(deg),NTwGages < 3
,TwHt3RDzt,,"Local tower angular (rotational) torsion deflection (relative to the undeflected position) of tower gage 3. This output will always be zero for FAST simulation results. Use it for examining tower torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.",About the local zt-axis,(deg),NTwGages < 3
,TwHt4RDxt,,"Local tower angular (rotational) roll deflection (relative to the undeflected position) of tower gage 4. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local xt-axis,(deg),NTwGages < 4
,TwHt4RDyt,,"Local tower angular (rotational) pitch deflection (relative to the undeflected position) of tower gage 4. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local yt-axis,(deg),NTwGages < 4
,TwHt4RDzt,,"Local tower angular (rotational) torsion deflection (relative to the undeflected position) of tower gage 4. This output will always be zero for FAST simulation results. Use it for examining tower torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.",About the local zt-axis,(deg),NTwGages < 4
,TwHt5RDxt,,"Local tower angular (rotational) roll deflection (relative to the undeflected position) of tower gage 5. In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local xt-axis,(deg),NTwGages < 5
,TwHt5RDyt,,"Local tower angular (rotational) pitch deflection (relative to the undeflected position) of tower gage 5. In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small tower deflections, so that the rotation sequence does not matter.",About the local yt-axis,(deg),NTwGages < 5
,TwHt5RDzt,,"Local tower angular (rotational) torsion deflection (relative to the undeflected position) of tower gage 5. This output will always be zero for FAST simulation results. Use it for examining tower torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.",About the local zt-axis,(deg),NTwGages < 5
